model_name,split,scope,n,selected_alpha,validation_RMSE,n_features,feature_columns,RMSE,MAE,R2,NSE,Top10% MAE
no_swat,train,overall,251,100.0,0.1602091926154814,59,precip|temp_mean|wind_speed|solar_radiation|api3|api7|api15|Hu|Hd|delta_h|Qg_sgn|Qg_abs|flow_mean|flow_min|flow_max|flow_signed_evidence|level_range|flow_range|connect|log_qg_abs|hydraulic_gradient_abs|mix|res|mem|exchange_strength|connect_rank_trainfit|exchange_rank_trainfit|state_score_s1|state_prob_s1|state_score_s2|state_prob_s2|state_score_s3|state_prob_s3|state_score_s4|state_prob_s4|z_delta_h|z_qg_sgn|z_qg_abs|z_connect|z_mix|z_res|z_mem|archive_xtk_up_level|archive_xtk_flow|archive_xtk_level_diff1|archive_xtk_flow_diff1|archive_xtk_flow_roll3|archive_xtk_flow_roll7|archive_hydro_available|tn_history_feature|warm_retention_proxy|wind_resuspension_proxy|bio_season_proxy|storm_window_3d|mechanistic_window|month_sin|month_cos|doy_sin|doy_cos,0.12018041274731767,0.09321876255752008,0.8453734523389855,0.8453734523389855,0.20092528855468966
no_swat,valid,overall,28,100.0,0.1602091926154814,59,precip|temp_mean|wind_speed|solar_radiation|api3|api7|api15|Hu|Hd|delta_h|Qg_sgn|Qg_abs|flow_mean|flow_min|flow_max|flow_signed_evidence|level_range|flow_range|connect|log_qg_abs|hydraulic_gradient_abs|mix|res|mem|exchange_strength|connect_rank_trainfit|exchange_rank_trainfit|state_score_s1|state_prob_s1|state_score_s2|state_prob_s2|state_score_s3|state_prob_s3|state_score_s4|state_prob_s4|z_delta_h|z_qg_sgn|z_qg_abs|z_connect|z_mix|z_res|z_mem|archive_xtk_up_level|archive_xtk_flow|archive_xtk_level_diff1|archive_xtk_flow_diff1|archive_xtk_flow_roll3|archive_xtk_flow_roll7|archive_hydro_available|tn_history_feature|warm_retention_proxy|wind_resuspension_proxy|bio_season_proxy|storm_window_3d|mechanistic_window|month_sin|month_cos|doy_sin|doy_cos,0.14811286733679355,0.08756627236090624,0.6632540128133341,0.6632540128133341,0.3559950004154738
no_swat,test,overall,50,100.0,0.1602091926154814,59,precip|temp_mean|wind_speed|solar_radiation|api3|api7|api15|Hu|Hd|delta_h|Qg_sgn|Qg_abs|flow_mean|flow_min|flow_max|flow_signed_evidence|level_range|flow_range|connect|log_qg_abs|hydraulic_gradient_abs|mix|res|mem|exchange_strength|connect_rank_trainfit|exchange_rank_trainfit|state_score_s1|state_prob_s1|state_score_s2|state_prob_s2|state_score_s3|state_prob_s3|state_score_s4|state_prob_s4|z_delta_h|z_qg_sgn|z_qg_abs|z_connect|z_mix|z_res|z_mem|archive_xtk_up_level|archive_xtk_flow|archive_xtk_level_diff1|archive_xtk_flow_diff1|archive_xtk_flow_roll3|archive_xtk_flow_roll7|archive_hydro_available|tn_history_feature|warm_retention_proxy|wind_resuspension_proxy|bio_season_proxy|storm_window_3d|mechanistic_window|month_sin|month_cos|doy_sin|doy_cos,0.2061143830462554,0.16352840563330465,0.5176763439847817,0.5176763439847817,0.3108454415254045
raw_swat,train,overall,251,100.0,0.15995655481933013,77,precip|temp_mean|wind_speed|solar_radiation|api3|api7|api15|Hu|Hd|delta_h|Qg_sgn|Qg_abs|flow_mean|flow_min|flow_max|flow_signed_evidence|level_range|flow_range|connect|log_qg_abs|hydraulic_gradient_abs|mix|res|mem|exchange_strength|connect_rank_trainfit|exchange_rank_trainfit|state_score_s1|state_prob_s1|state_score_s2|state_prob_s2|state_score_s3|state_prob_s3|state_score_s4|state_prob_s4|z_delta_h|z_qg_sgn|z_qg_abs|z_connect|z_mix|z_res|z_mem|archive_xtk_up_level|archive_xtk_flow|archive_xtk_level_diff1|archive_xtk_flow_diff1|archive_xtk_flow_roll3|archive_xtk_flow_roll7|archive_hydro_available|tn_history_feature|warm_retention_proxy|wind_resuspension_proxy|bio_season_proxy|storm_window_3d|mechanistic_window|month_sin|month_cos|doy_sin|doy_cos|L_all|L_key|L_corr|L0|L_aux_1|L_aux_2|L_eff|recon_scale|connectivity_correction|tv_weight|lag_weight_0|lag_weight_1|lag_weight_2|lag_weight_3|lag_weight_4|lag_weight_5|lag_weight_6|lag_weight_7,0.12048928552686781,0.09338946178818824,0.8445776270659799,0.8445776270659799,0.20038997840420525
raw_swat,valid,overall,28,100.0,0.15995655481933013,77,precip|temp_mean|wind_speed|solar_radiation|api3|api7|api15|Hu|Hd|delta_h|Qg_sgn|Qg_abs|flow_mean|flow_min|flow_max|flow_signed_evidence|level_range|flow_range|connect|log_qg_abs|hydraulic_gradient_abs|mix|res|mem|exchange_strength|connect_rank_trainfit|exchange_rank_trainfit|state_score_s1|state_prob_s1|state_score_s2|state_prob_s2|state_score_s3|state_prob_s3|state_score_s4|state_prob_s4|z_delta_h|z_qg_sgn|z_qg_abs|z_connect|z_mix|z_res|z_mem|archive_xtk_up_level|archive_xtk_flow|archive_xtk_level_diff1|archive_xtk_flow_diff1|archive_xtk_flow_roll3|archive_xtk_flow_roll7|archive_hydro_available|tn_history_feature|warm_retention_proxy|wind_resuspension_proxy|bio_season_proxy|storm_window_3d|mechanistic_window|month_sin|month_cos|doy_sin|doy_cos|L_all|L_key|L_corr|L0|L_aux_1|L_aux_2|L_eff|recon_scale|connectivity_correction|tv_weight|lag_weight_0|lag_weight_1|lag_weight_2|lag_weight_3|lag_weight_4|lag_weight_5|lag_weight_6|lag_weight_7,0.14688030633934868,0.08602948812007319,0.6688353368507126,0.6688353368507126,0.35397777771100875
raw_swat,test,overall,50,100.0,0.15995655481933013,77,precip|temp_mean|wind_speed|solar_radiation|api3|api7|api15|Hu|Hd|delta_h|Qg_sgn|Qg_abs|flow_mean|flow_min|flow_max|flow_signed_evidence|level_range|flow_range|connect|log_qg_abs|hydraulic_gradient_abs|mix|res|mem|exchange_strength|connect_rank_trainfit|exchange_rank_trainfit|state_score_s1|state_prob_s1|state_score_s2|state_prob_s2|state_score_s3|state_prob_s3|state_score_s4|state_prob_s4|z_delta_h|z_qg_sgn|z_qg_abs|z_connect|z_mix|z_res|z_mem|archive_xtk_up_level|archive_xtk_flow|archive_xtk_level_diff1|archive_xtk_flow_diff1|archive_xtk_flow_roll3|archive_xtk_flow_roll7|archive_hydro_available|tn_history_feature|warm_retention_proxy|wind_resuspension_proxy|bio_season_proxy|storm_window_3d|mechanistic_window|month_sin|month_cos|doy_sin|doy_cos|L_all|L_key|L_corr|L0|L_aux_1|L_aux_2|L_eff|recon_scale|connectivity_correction|tv_weight|lag_weight_0|lag_weight_1|lag_weight_2|lag_weight_3|lag_weight_4|lag_weight_5|lag_weight_6|lag_weight_7,0.207228382847584,0.16470444773525228,0.5124485625754217,0.5124485625754217,0.31365015390231343
with_swat,train,overall,251,0.05,0.1810919148154257,80,precip|temp_mean|wind_speed|solar_radiation|api3|api7|api15|Hu|Hd|delta_h|Qg_sgn|Qg_abs|flow_mean|flow_min|flow_max|flow_signed_evidence|level_range|flow_range|connect|log_qg_abs|hydraulic_gradient_abs|mix|res|mem|exchange_strength|connect_rank_trainfit|exchange_rank_trainfit|state_score_s1|state_prob_s1|state_score_s2|state_prob_s2|state_score_s3|state_prob_s3|state_score_s4|state_prob_s4|z_delta_h|z_qg_sgn|z_qg_abs|z_connect|z_mix|z_res|z_mem|archive_xtk_up_level|archive_xtk_flow|archive_xtk_level_diff1|archive_xtk_flow_diff1|archive_xtk_flow_roll3|archive_xtk_flow_roll7|archive_hydro_available|tn_history_feature|warm_retention_proxy|wind_resuspension_proxy|bio_season_proxy|storm_window_3d|mechanistic_window|month_sin|month_cos|doy_sin|doy_cos|L_all|L_key|L_corr|L0|L_aux_1|L_aux_2|L_eff|recon_scale|connectivity_correction|tv_weight|lag_weight_0|lag_weight_1|lag_weight_2|lag_weight_3|lag_weight_4|lag_weight_5|lag_weight_6|lag_weight_7|pred_tn_prior|pred_tn_reconstruction_raw|pred_tn_dlinear_anchor,0.07655016611790257,0.05749965114180794,0.9372651372718407,0.9372651372718407,0.05246046847717764
with_swat,valid,overall,28,0.05,0.1810919148154257,80,precip|temp_mean|wind_speed|solar_radiation|api3|api7|api15|Hu|Hd|delta_h|Qg_sgn|Qg_abs|flow_mean|flow_min|flow_max|flow_signed_evidence|level_range|flow_range|connect|log_qg_abs|hydraulic_gradient_abs|mix|res|mem|exchange_strength|connect_rank_trainfit|exchange_rank_trainfit|state_score_s1|state_prob_s1|state_score_s2|state_prob_s2|state_score_s3|state_prob_s3|state_score_s4|state_prob_s4|z_delta_h|z_qg_sgn|z_qg_abs|z_connect|z_mix|z_res|z_mem|archive_xtk_up_level|archive_xtk_flow|archive_xtk_level_diff1|archive_xtk_flow_diff1|archive_xtk_flow_roll3|archive_xtk_flow_roll7|archive_hydro_available|tn_history_feature|warm_retention_proxy|wind_resuspension_proxy|bio_season_proxy|storm_window_3d|mechanistic_window|month_sin|month_cos|doy_sin|doy_cos|L_all|L_key|L_corr|L0|L_aux_1|L_aux_2|L_eff|recon_scale|connectivity_correction|tv_weight|lag_weight_0|lag_weight_1|lag_weight_2|lag_weight_3|lag_weight_4|lag_weight_5|lag_weight_6|lag_weight_7|pred_tn_prior|pred_tn_reconstruction_raw|pred_tn_dlinear_anchor,0.13797307751050283,0.0811662034770059,0.707782949536994,0.707782949536994,0.3015678696625146
with_swat,test,overall,50,0.05,0.1810919148154257,80,precip|temp_mean|wind_speed|solar_radiation|api3|api7|api15|Hu|Hd|delta_h|Qg_sgn|Qg_abs|flow_mean|flow_min|flow_max|flow_signed_evidence|level_range|flow_range|connect|log_qg_abs|hydraulic_gradient_abs|mix|res|mem|exchange_strength|connect_rank_trainfit|exchange_rank_trainfit|state_score_s1|state_prob_s1|state_score_s2|state_prob_s2|state_score_s3|state_prob_s3|state_score_s4|state_prob_s4|z_delta_h|z_qg_sgn|z_qg_abs|z_connect|z_mix|z_res|z_mem|archive_xtk_up_level|archive_xtk_flow|archive_xtk_level_diff1|archive_xtk_flow_diff1|archive_xtk_flow_roll3|archive_xtk_flow_roll7|archive_hydro_available|tn_history_feature|warm_retention_proxy|wind_resuspension_proxy|bio_season_proxy|storm_window_3d|mechanistic_window|month_sin|month_cos|doy_sin|doy_cos|L_all|L_key|L_corr|L0|L_aux_1|L_aux_2|L_eff|recon_scale|connectivity_correction|tv_weight|lag_weight_0|lag_weight_1|lag_weight_2|lag_weight_3|lag_weight_4|lag_weight_5|lag_weight_6|lag_weight_7|pred_tn_prior|pred_tn_reconstruction_raw|pred_tn_dlinear_anchor,0.1358021646625748,0.10904163290615061,0.7906199252347988,0.7906199252347988,0.1282137563559151
misaligned_swat,train,overall,251,20.0,0.16962831084949329,80,precip|temp_mean|wind_speed|solar_radiation|api3|api7|api15|Hu|Hd|delta_h|Qg_sgn|Qg_abs|flow_mean|flow_min|flow_max|flow_signed_evidence|level_range|flow_range|connect|log_qg_abs|hydraulic_gradient_abs|mix|res|mem|exchange_strength|connect_rank_trainfit|exchange_rank_trainfit|state_score_s1|state_prob_s1|state_score_s2|state_prob_s2|state_score_s3|state_prob_s3|state_score_s4|state_prob_s4|z_delta_h|z_qg_sgn|z_qg_abs|z_connect|z_mix|z_res|z_mem|archive_xtk_up_level|archive_xtk_flow|archive_xtk_level_diff1|archive_xtk_flow_diff1|archive_xtk_flow_roll3|archive_xtk_flow_roll7|archive_hydro_available|tn_history_feature|warm_retention_proxy|wind_resuspension_proxy|bio_season_proxy|storm_window_3d|mechanistic_window|month_sin|month_cos|doy_sin|doy_cos|L_all|L_key|L_corr|L0|L_aux_1|L_aux_2|L_eff|recon_scale|connectivity_correction|tv_weight|lag_weight_0|lag_weight_1|lag_weight_2|lag_weight_3|lag_weight_4|lag_weight_5|lag_weight_6|lag_weight_7|pred_tn_prior|pred_tn_reconstruction_raw|pred_tn_dlinear_anchor,0.08625900323934736,0.06534139374298761,0.9203427062343825,0.9203427062343825,0.10117498227591712
misaligned_swat,valid,overall,28,20.0,0.16962831084949329,80,precip|temp_mean|wind_speed|solar_radiation|api3|api7|api15|Hu|Hd|delta_h|Qg_sgn|Qg_abs|flow_mean|flow_min|flow_max|flow_signed_evidence|level_range|flow_range|connect|log_qg_abs|hydraulic_gradient_abs|mix|res|mem|exchange_strength|connect_rank_trainfit|exchange_rank_trainfit|state_score_s1|state_prob_s1|state_score_s2|state_prob_s2|state_score_s3|state_prob_s3|state_score_s4|state_prob_s4|z_delta_h|z_qg_sgn|z_qg_abs|z_connect|z_mix|z_res|z_mem|archive_xtk_up_level|archive_xtk_flow|archive_xtk_level_diff1|archive_xtk_flow_diff1|archive_xtk_flow_roll3|archive_xtk_flow_roll7|archive_hydro_available|tn_history_feature|warm_retention_proxy|wind_resuspension_proxy|bio_season_proxy|storm_window_3d|mechanistic_window|month_sin|month_cos|doy_sin|doy_cos|L_all|L_key|L_corr|L0|L_aux_1|L_aux_2|L_eff|recon_scale|connectivity_correction|tv_weight|lag_weight_0|lag_weight_1|lag_weight_2|lag_weight_3|lag_weight_4|lag_weight_5|lag_weight_6|lag_weight_7|pred_tn_prior|pred_tn_reconstruction_raw|pred_tn_dlinear_anchor,0.14556843339844977,0.08449303981462074,0.6747245649890956,0.6747245649890956,0.337645260139321
misaligned_swat,test,overall,50,20.0,0.16962831084949329,80,precip|temp_mean|wind_speed|solar_radiation|api3|api7|api15|Hu|Hd|delta_h|Qg_sgn|Qg_abs|flow_mean|flow_min|flow_max|flow_signed_evidence|level_range|flow_range|connect|log_qg_abs|hydraulic_gradient_abs|mix|res|mem|exchange_strength|connect_rank_trainfit|exchange_rank_trainfit|state_score_s1|state_prob_s1|state_score_s2|state_prob_s2|state_score_s3|state_prob_s3|state_score_s4|state_prob_s4|z_delta_h|z_qg_sgn|z_qg_abs|z_connect|z_mix|z_res|z_mem|archive_xtk_up_level|archive_xtk_flow|archive_xtk_level_diff1|archive_xtk_flow_diff1|archive_xtk_flow_roll3|archive_xtk_flow_roll7|archive_hydro_available|tn_history_feature|warm_retention_proxy|wind_resuspension_proxy|bio_season_proxy|storm_window_3d|mechanistic_window|month_sin|month_cos|doy_sin|doy_cos|L_all|L_key|L_corr|L0|L_aux_1|L_aux_2|L_eff|recon_scale|connectivity_correction|tv_weight|lag_weight_0|lag_weight_1|lag_weight_2|lag_weight_3|lag_weight_4|lag_weight_5|lag_weight_6|lag_weight_7|pred_tn_prior|pred_tn_reconstruction_raw|pred_tn_dlinear_anchor,0.14528751157555989,0.11048366825281439,0.760349391407992,0.760349391407992,0.16194216770286793
