model_name,split,scope,n,stratum_column,stratum_value,selected_alpha,validation_RMSE,RMSE,MAE,R2,NSE,Top10% MAE
no_swat,train,by_state_label,125,state_label,S1,100.0,0.1602091926154814,0.11746537290245428,0.08990609829561048,0.8633743323950969,0.8633743323950969,0.220437971186987
no_swat,train,by_state_label,82,state_label,S2,100.0,0.1602091926154814,0.12344566350796747,0.0960944755013274,0.7879698569400296,0.7879698569400296,0.1701798658026757
no_swat,train,by_state_label,44,state_label,S3,100.0,0.1602091926154814,0.12162982158585589,0.09727045736084969,0.7928516340230047,0.7928516340230047,0.12502161414758656
no_swat,train,by_storm_window_3d,16,storm_window_3d,no,100.0,0.1602091926154814,0.04883603661229925,0.044563465016588526,0.9605247047666416,0.9605247047666416,0.06748100842701088
no_swat,train,by_storm_window_3d,235,storm_window_3d,yes,100.0,0.1602091926154814,0.12354888597593211,0.0965314636666899,0.835135219243271,0.835135219243271,0.20705009269695895
no_swat,train,by_mechanistic_window,251,mechanistic_window,yes,100.0,0.1602091926154814,0.12018041274731767,0.09321876255752008,0.8453734523389855,0.8453734523389855,0.20092528855468966
no_swat,train,by_direction,52,direction,neutral,100.0,0.1602091926154814,0.08222676893102297,0.06362397138415322,0.9135710409673727,0.9135710409673727,0.09115495589977436
no_swat,train,by_direction,199,direction,outflow,100.0,0.1602091926154814,0.12826032874719875,0.10095207482392751,0.8257410500808686,0.8257410500808686,0.20579587078439304
no_swat,valid,by_state_label,23,state_label,S1,100.0,0.1602091926154814,0.10856850037516627,0.07283561082925952,0.6992867027551983,0.6992867027551983,0.16918845181719896
no_swat,valid,by_state_label,1,state_label,S2,100.0,0.1602091926154814,0.010705876838491113,0.010705876838491113,,,0.010705876838491113
no_swat,valid,by_state_label,4,state_label,S3,100.0,0.1602091926154814,0.29284357688281165,0.19148267504847855,-59.788488762374,-59.788488762374,0.5713491374141981
no_swat,valid,by_storm_window_3d,3,storm_window_3d,no,100.0,0.1602091926154814,0.11276701030176411,0.09240907520570445,0.23365979699665995,0.23365979699665995,0.06211592274432243
no_swat,valid,by_storm_window_3d,25,storm_window_3d,yes,100.0,0.1602091926154814,0.1518023195268307,0.08698513601953045,0.6723331137686859,0.6723331137686859,0.3559950004154738
no_swat,valid,by_mechanistic_window,28,mechanistic_window,yes,100.0,0.1602091926154814,0.14811286733679355,0.08756627236090624,0.6632540128133341,0.6632540128133341,0.3559950004154738
no_swat,valid,by_direction,4,direction,neutral,100.0,0.1602091926154814,0.06549327557494317,0.048367202608425086,0.3009382043478731,0.3009382043478731,0.039228842767871974
no_swat,valid,by_direction,24,direction,outflow,100.0,0.1602091926154814,0.15773003368073288,0.09409945065298642,0.6230062829753895,0.6230062829753895,0.3559950004154738
no_swat,test,by_state_label,13,state_label,S1,100.0,0.1602091926154814,0.23950370191433307,0.20725086599253403,0.3203493194214537,0.3203493194214537,0.25588839971441635
no_swat,test,by_state_label,32,state_label,S2,100.0,0.1602091926154814,0.19272757583825847,0.14752685649702196,0.5366456256855956,0.5366456256855956,0.33168968010511707
no_swat,test,by_state_label,5,state_label,S3,100.0,0.1602091926154814,0.19485648631569108,0.15225992317151732,0.5526125364346212,0.5526125364346212,0.38317648461097775
no_swat,test,by_storm_window_3d,16,storm_window_3d,no,100.0,0.1602091926154814,0.16462393563851754,0.14126586276495426,0.6596263815597672,0.6596263815597672,0.2554740591923479
no_swat,test,by_storm_window_3d,34,storm_window_3d,yes,100.0,0.1602091926154814,0.2229837966920657,0.17400489639488126,0.4597092263349022,0.4597092263349022,0.32802496977523793
no_swat,test,by_mechanistic_window,50,mechanistic_window,yes,100.0,0.1602091926154814,0.2061143830462554,0.16352840563330465,0.5176763439847817,0.5176763439847817,0.3108454415254045
no_swat,test,by_direction,7,direction,neutral,100.0,0.1602091926154814,0.11329879212505856,0.08176716578319503,0.4080182129435137,0.4080182129435137,0.21695594670355534
no_swat,test,by_direction,43,direction,outflow,100.0,0.1602091926154814,0.21750705045231022,0.17683837491122945,0.42742200690078214,0.42742200690078214,0.3108454415254045
raw_swat,train,by_state_label,125,state_label,S1,100.0,0.15995655481933013,0.11813795397349101,0.0903387822568978,0.8618052757127909,0.8618052757127909,0.22180192815514824
raw_swat,train,by_state_label,82,state_label,S2,100.0,0.15995655481933013,0.12365818703067244,0.09672130206649361,0.7872391681431755,0.7872391681431755,0.1666056696675528
raw_swat,train,by_state_label,44,state_label,S3,100.0,0.15995655481933013,0.12111903953565707,0.09584682630160334,0.7945878118300768,0.7945878118300768,0.12406053568426012
raw_swat,train,by_storm_window_3d,16,storm_window_3d,no,100.0,0.15995655481933013,0.04899285714321313,0.04506720924870069,0.9602707744069521,0.9602707744069521,0.06528881322753655
raw_swat,train,by_storm_window_3d,235,storm_window_3d,yes,100.0,0.15995655481933013,0.12386557313343828,0.09667948749300441,0.8342889554694513,0.8342889554694513,0.2063325895115993
raw_swat,train,by_mechanistic_window,251,mechanistic_window,yes,100.0,0.15995655481933013,0.12048928552686781,0.09338946178818824,0.8445776270659799,0.8445776270659799,0.20038997840420525
raw_swat,train,by_direction,52,direction,neutral,100.0,0.15995655481933013,0.08344073209744862,0.06450428894096485,0.911000197329855,0.911000197329855,0.09252299303353202
raw_swat,train,by_direction,199,direction,outflow,100.0,0.15995655481933013,0.12842087193629384,0.10093734615027676,0.825304537924267,0.825304537924267,0.20562519772414908
raw_swat,valid,by_state_label,23,state_label,S1,100.0,0.15995655481933013,0.10793086919547545,0.07132788079862266,0.7028085550354564,0.7028085550354564,0.17068640082020034
raw_swat,valid,by_state_label,1,state_label,S2,100.0,0.15995655481933013,0.012020222842662909,0.012020222842662909,,,0.012020222842662909
raw_swat,valid,by_state_label,4,state_label,S3,100.0,0.15995655481933013,0.2898249165835595,0.1890660465377662,-58.54172055478798,-58.54172055478798,0.5658043600577456
raw_swat,valid,by_storm_window_3d,3,storm_window_3d,no,100.0,0.15995655481933013,0.11261967595632746,0.09231136482808429,0.23566099348951308,0.23566099348951308,0.06117015276508142
raw_swat,valid,by_storm_window_3d,25,storm_window_3d,yes,100.0,0.15995655481933013,0.15046827023555773,0.08527566291511185,0.6780669265549624,0.6780669265549624,0.35397777771100875
raw_swat,valid,by_mechanistic_window,28,mechanistic_window,yes,100.0,0.15995655481933013,0.14688030633934868,0.08602948812007319,0.6688353368507126,0.6688353368507126,0.35397777771100875
raw_swat,valid,by_direction,4,direction,neutral,100.0,0.15995655481933013,0.06341423219610348,0.04647391257783279,0.3446163213863416,0.3446163213863416,0.04328998545711582
raw_swat,valid,by_direction,24,direction,outflow,100.0,0.15995655481933013,0.15652231251345872,0.09262208404377992,0.6287573777832687,0.6287573777832687,0.35397777771100875
raw_swat,test,by_state_label,13,state_label,S1,100.0,0.15995655481933013,0.2417937168093859,0.20934895637480208,0.30729022281254936,0.30729022281254936,0.26027861734763913
raw_swat,test,by_state_label,32,state_label,S2,100.0,0.15995655481933013,0.19313413744859378,0.1482699210558423,0.5346886582185308,0.5346886582185308,0.33263322270232665
raw_swat,test,by_state_label,5,state_label,S3,100.0,0.15995655481933013,0.19673335863263292,0.15380969602064615,0.5439524898974477,0.5439524898974477,0.3862611590793108
raw_swat,test,by_storm_window_3d,16,storm_window_3d,no,100.0,0.15995655481933013,0.1655564259486159,0.14199755038362524,0.6557594587958736,0.6557594587958736,0.25754526814144385
raw_swat,test,by_storm_window_3d,34,storm_window_3d,yes,100.0,0.15995655481933013,0.2241741215396934,0.1753900464889591,0.4539255049378914,0.4539255049378914,0.33054005905375106
raw_swat,test,by_mechanistic_window,50,mechanistic_window,yes,100.0,0.15995655481933013,0.207228382847584,0.16470444773525228,0.5124485625754217,0.5124485625754217,0.31365015390231343
raw_swat,test,by_direction,7,direction,neutral,100.0,0.15995655481933013,0.1134763730311661,0.08318309353674613,0.40616105198549524,0.40616105198549524,0.21529121633124748
raw_swat,test,by_direction,43,direction,outflow,100.0,0.15995655481933013,0.2187194189774634,0.17797536586059043,0.42102120124752673,0.42102120124752673,0.31365015390231343
with_swat,train,by_state_label,125,state_label,S1,0.05,0.1810919148154257,0.06325059345950018,0.05039684244366698,0.9603866306696909,0.9603866306696909,0.04105422247961096
with_swat,train,by_state_label,82,state_label,S2,0.05,0.1810919148154257,0.09556426122922089,0.07074399935689359,0.8729317808637457,0.8729317808637457,0.09963521263509145
with_swat,train,by_state_label,44,state_label,S3,0.05,0.1810919148154257,0.07101454980373768,0.05299543599704877,0.929385148712422,0.929385148712422,0.06430085254459503
with_swat,train,by_storm_window_3d,16,storm_window_3d,no,0.05,0.1810919148154257,0.05077974492224212,0.03726367331712347,0.9573198835770597,0.9573198835770597,0.009124574427916365
with_swat,train,by_storm_window_3d,235,storm_window_3d,yes,0.05,0.1810919148154257,0.07799576069200909,0.05887741984476518,0.9342959382433413,0.9342959382433413,0.05640379642526869
with_swat,train,by_mechanistic_window,251,mechanistic_window,yes,0.05,0.1810919148154257,0.07655016611790257,0.05749965114180794,0.9372651372718407,0.9372651372718407,0.05246046847717764
with_swat,train,by_direction,52,direction,neutral,0.05,0.1810919148154257,0.06108519573461817,0.04804205401700866,0.9523014945244013,0.9523014945244013,0.030580518305515853
with_swat,train,by_direction,199,direction,outflow,0.05,0.1810919148154257,0.08010072339931418,0.059970983053815805,0.9320353207376781,0.9320353207376781,0.05425789162740542
with_swat,valid,by_state_label,23,state_label,S1,0.05,0.1810919148154257,0.104127436510898,0.07085729557588757,0.7233852668838323,0.7233852668838323,0.16297830824085513
with_swat,valid,by_state_label,1,state_label,S2,0.05,0.1810919148154257,0.027898798375249223,0.027898798375249223,,,0.027898798375249223
with_swat,valid,by_state_label,4,state_label,S3,0.05,0.1810919148154257,0.26592648916370676,0.1537592751838754,-49.12716472722664,-49.12716472722664,0.5294713805215236
with_swat,valid,by_storm_window_3d,3,storm_window_3d,no,0.05,0.1810919148154257,0.15055380372950242,0.14559004744385584,-0.3659693087028515,-0.3659693087028515,0.09382479130564492
with_swat,valid,by_storm_window_3d,25,storm_window_3d,yes,0.05,0.1810919148154257,0.1363854273511468,0.0734353422009839,0.7355085261586733,0.7355085261586733,0.3015678696625146
with_swat,valid,by_mechanistic_window,28,mechanistic_window,yes,0.05,0.1810919148154257,0.13797307751050283,0.0811662034770059,0.707782949536994,0.707782949536994,0.3015678696625146
with_swat,valid,by_direction,4,direction,neutral,0.05,0.1810919148154257,0.0661702150660119,0.0545156137141094,0.2864124946575495,0.2864124946575495,0.053910206224836665
with_swat,valid,by_direction,24,direction,outflow,0.05,0.1810919148154257,0.14655914247733592,0.08560796843748864,0.6745148712044098,0.6745148712044098,0.3015678696625146
with_swat,test,by_state_label,13,state_label,S1,0.05,0.1810919148154257,0.14448004212178064,0.11785800795617936,0.7526698765592484,0.7526698765592484,0.03994193636228416
with_swat,test,by_state_label,32,state_label,S2,0.05,0.1810919148154257,0.1272173723764511,0.10068954702047733,0.7981083338953845,0.7981083338953845,0.07535663721539909
with_swat,test,by_state_label,5,state_label,S3,0.05,0.1810919148154257,0.16300110933524875,0.13957240744438493,0.6869345102519853,0.6869345102519853,0.06468964770257735
with_swat,test,by_storm_window_3d,16,storm_window_3d,no,0.05,0.1810919148154257,0.12504414514860904,0.09761937196378585,0.8036202715435967,0.8036202715435967,0.029751084372257708
with_swat,test,by_storm_window_3d,34,storm_window_3d,yes,0.05,0.1810919148154257,0.14058018274875683,0.11441681452608699,0.7852519906271672,0.7852519906271672,0.14971346392362328
with_swat,test,by_mechanistic_window,50,mechanistic_window,yes,0.05,0.1810919148154257,0.1358021646625748,0.10904163290615061,0.7906199252347988,0.7906199252347988,0.1282137563559151
with_swat,test,by_direction,7,direction,neutral,0.05,0.1810919148154257,0.12766474291802787,0.10846012609592777,0.2483775634545453,0.2483775634545453,0.07836632043676484
with_swat,test,by_direction,43,direction,outflow,0.05,0.1810919148154257,0.13708114981278305,0.10913629680548922,0.772572252027241,0.772572252027241,0.1282137563559151
misaligned_swat,train,by_state_label,125,state_label,S1,20.0,0.16962831084949329,0.07052322005103412,0.055534475217066066,0.9507533332058019,0.9507533332058019,0.10619531259838894
misaligned_swat,train,by_state_label,82,state_label,S2,20.0,0.16962831084949329,0.09981658869110535,0.07391800386090855,0.8613718662723627,0.8613718662723627,0.10773262103575636
misaligned_swat,train,by_state_label,44,state_label,S3,20.0,0.16962831084949329,0.09873163141190265,0.07721827524459383,0.8635058623943344,0.8635058623943344,0.06370169434880313
misaligned_swat,train,by_storm_window_3d,16,storm_window_3d,no,20.0,0.16962831084949329,0.0517547763728105,0.04368081060328951,0.9556651301160314,0.9556651301160314,0.06887698394611208
misaligned_swat,train,by_storm_window_3d,235,storm_window_3d,yes,20.0,0.16962831084949329,0.08811833473964926,0.0668161568503713,0.9161346074088277,0.9161346074088277,0.1031764040432895
misaligned_swat,train,by_mechanistic_window,251,mechanistic_window,yes,20.0,0.16962831084949329,0.08625900323934736,0.06534139374298761,0.9203427062343825,0.9203427062343825,0.10117498227591712
misaligned_swat,train,by_direction,52,direction,neutral,20.0,0.16962831084949329,0.05970088984151649,0.04700939979233122,0.9544388748460604,0.9544388748460604,0.05325680731645299
misaligned_swat,train,by_direction,199,direction,outflow,20.0,0.16962831084949329,0.09194318544792786,0.07013166351903852,0.9104533202506493,0.9104533202506493,0.10113737483670035
misaligned_swat,valid,by_state_label,23,state_label,S1,20.0,0.16962831084949329,0.1042250120757324,0.0688499969206998,0.7228666046369678,0.7228666046369678,0.16210275135370575
misaligned_swat,valid,by_state_label,1,state_label,S2,20.0,0.16962831084949329,0.05492591527888435,0.05492591527888435,,,0.05492591527888435
misaligned_swat,valid,by_state_label,4,state_label,S3,20.0,0.16962831084949329,0.29174571462949334,0.1818323175886003,-59.33355449560423,-59.33355449560423,0.5746651733631292
misaligned_swat,valid,by_storm_window_3d,3,storm_window_3d,no,20.0,0.16962831084949329,0.1273841190557987,0.11964309315445387,0.022114395976918888,0.022114395976918888,0.10278383357887089
misaligned_swat,valid,by_storm_window_3d,25,storm_window_3d,yes,20.0,0.16962831084949329,0.14760007928119057,0.08027503341384078,0.690223177689109,0.690223177689109,0.337645260139321
misaligned_swat,valid,by_mechanistic_window,28,mechanistic_window,yes,20.0,0.16962831084949329,0.14556843339844977,0.08449303981462074,0.6747245649890956,0.6747245649890956,0.337645260139321
misaligned_swat,valid,by_direction,4,direction,neutral,20.0,0.16962831084949329,0.06678238674865869,0.05046282013583592,0.2731479537975626,0.2731479537975626,0.060710205921823635
misaligned_swat,valid,by_direction,24,direction,outflow,20.0,0.16962831084949329,0.15485008580059234,0.09016474309441823,0.6366474429236145,0.6366474429236145,0.337645260139321
misaligned_swat,test,by_state_label,13,state_label,S1,20.0,0.16962831084949329,0.17239128867188316,0.13059977712734078,0.64787899933814,0.64787899933814,0.09588919420097719
misaligned_swat,test,by_state_label,32,state_label,S2,20.0,0.16962831084949329,0.1383380731863596,0.10528280123343801,0.7612689025272806,0.7612689025272806,0.1687826307743966
misaligned_swat,test,by_state_label,5,state_label,S3,20.0,0.16962831084949329,0.10647224792242596,0.09146733410305452,0.8664244647910091,0.8664244647910091,0.1720888061064647
misaligned_swat,test,by_storm_window_3d,16,storm_window_3d,no,20.0,0.16962831084949329,0.11811726039920614,0.0989466865975094,0.8247747605033684,0.8247747605033684,0.07541654331953618
misaligned_swat,test,by_storm_window_3d,34,storm_window_3d,yes,20.0,0.16962831084949329,0.15644920766850487,0.11591283609060496,0.7340330483306169,0.7340330483306169,0.19552527413563925
misaligned_swat,test,by_mechanistic_window,50,mechanistic_window,yes,20.0,0.16962831084949329,0.14528751157555989,0.11048366825281439,0.760349391407992,0.760349391407992,0.16194216770286793
misaligned_swat,test,by_direction,7,direction,neutral,20.0,0.16962831084949329,0.10680383449157359,0.0881193401074021,0.4739446087344291,0.4739446087344291,0.13263826907023502
misaligned_swat,test,by_direction,43,direction,outflow,20.0,0.16962831084949329,0.15062456311284309,0.11412437283462572,0.725413251590254,0.725413251590254,0.16194216770286793
