date,observed_tn,pred_no_swat,pred_response_calibrated_swat,error_no_swat_pred_minus_obs,error_response_calibrated_swat_pred_minus_obs,abs_error_no_swat,abs_error_response_calibrated_swat,daily_abs_error_gain_no_minus_calibrated,abs_error_positive_contribution,needed_correction_obs_minus_no_swat,swat_induced_correction_calibrated_minus_no_swat,correction_direction_agree,storm_window_3d,state_label,cumulative_abs_error_gain
2023-11-07,1.2666666666666666,1.48335688895854,1.4456362094646165,0.2166902222918734,0.17896954279794985,0.2166902222918734,0.17896954279794985,0.03772067949392355,True,-0.2166902222918734,-0.03772067949392355,True,1,S1,0.03772067949392355
2023-11-08,1.358,1.366121308055527,1.359621308055527,0.00812130805552691,0.0016213080555269599,0.00812130805552691,0.0016213080555269599,0.00649999999999995,True,-0.00812130805552691,-0.00649999999999995,True,1,S2,0.0442206794939235
2023-11-09,1.5699999999999998,1.4593955436737995,1.4873955436737996,-0.1106044563262003,-0.08260445632620028,0.1106044563262003,0.08260445632620028,0.028000000000000025,True,0.1106044563262003,0.028000000000000025,True,1,S2,0.07222067949392352
2023-11-10,1.83,1.6048093122297935,1.6816023455048554,-0.22519068777020657,-0.14839765449514464,0.22519068777020657,0.14839765449514464,0.07679303327506193,True,0.22519068777020657,0.07679303327506193,True,1,S1,0.14901371276898545
2023-11-11,1.8683333333333336,1.755067055716616,1.9241844186937165,-0.1132662776167177,0.05585108536038286,0.1132662776167177,0.05585108536038286,0.057415192256334846,True,0.1132662776167177,0.16911736297710056,True,1,S1,0.2064289050253203
2023-11-12,1.8883333333333336,1.7525023874569117,1.9624225916669689,-0.13583094587642197,0.07408925833363522,0.13583094587642197,0.07408925833363522,0.06174168754278675,True,0.13583094587642197,0.2099202042100572,True,1,S1,0.26817059256810705
2023-11-13,1.795,1.7492323955598736,1.9107676044401265,-0.045767604440126286,0.11576760444012657,0.045767604440126286,0.11576760444012657,-0.07000000000000028,False,0.045767604440126286,0.16153520888025286,True,1,S1,0.19817059256810676
2023-11-14,2.181666666666666,1.6723966972881863,1.831506521397726,-0.5092699693784799,-0.35016014526894024,0.5092699693784799,0.35016014526894024,0.15910982410953967,True,0.5092699693784799,0.15910982410953967,True,1,S1,0.35728041667764643
2023-11-15,2.1750000000000003,1.8961085487203528,2.026453836698055,-0.27889145127964743,-0.14854616330194537,0.27889145127964743,0.14854616330194537,0.13034528797770206,True,0.27889145127964743,0.13034528797770206,True,1,S1,0.4876257046553485
2023-11-16,2.184,1.8998147667713527,2.134764596461051,-0.2841852332286474,-0.049235403538949285,0.2841852332286474,0.049235403538949285,0.23494982968969813,True,0.2841852332286474,0.23494982968969813,True,1,S1,0.7225755343450466
2023-11-17,2.1766666666666667,1.8883348357033336,2.109202429897882,-0.28833183096333315,-0.06746423676878477,0.28833183096333315,0.06746423676878477,0.22086759419454838,True,0.28833183096333315,0.22086759419454838,True,1,S1,0.943443128539595
2023-11-18,2.14,1.902556015978658,2.06313412901483,-0.23744398402134204,-0.07686587098516995,0.23744398402134204,0.07686587098516995,0.1605781130361721,True,0.23744398402134204,0.1605781130361721,True,0,S2,1.104021241575767
2023-11-19,2.138333333333333,1.8778716538896736,1.9997929867895103,-0.2604616794436596,-0.13854034654382286,0.2604616794436596,0.13854034654382286,0.12192133289983675,True,0.2604616794436596,0.12192133289983675,True,0,S2,1.2259425744756038
2023-11-20,1.9933333333333332,1.8779388821173997,1.992471108000976,-0.1153944512159335,-0.000862225332357136,0.1153944512159335,0.000862225332357136,0.11453222588357637,True,0.1153944512159335,0.11453222588357637,True,0,S2,1.3404748003591802
2023-11-21,1.8033333333333337,1.8346187652180372,1.9296187652180372,0.03128543188470356,0.12628543188470354,0.03128543188470356,0.12628543188470354,-0.09499999999999997,False,-0.03128543188470356,0.09499999999999997,False,0,S3,1.2454748003591802
2023-11-22,1.8083333333333331,1.7184885306510944,1.8390718772175576,-0.08984480268223871,0.03073854388422448,0.08984480268223871,0.03073854388422448,0.05910625879801423,True,0.08984480268223871,0.12058334656646319,True,0,S3,1.3045810591571945
2023-11-23,1.725,1.7235752678599656,1.7864247321400346,-0.0014247321400344681,0.06142473214003452,0.0014247321400344681,0.06142473214003452,-0.06000000000000005,False,0.0014247321400344681,0.06284946428006899,True,0,S2,1.2445810591571944
2023-11-24,1.7133333333333332,1.6809553355117948,1.7907113311548717,-0.032377997821538385,0.07737799782153854,0.032377997821538385,0.07737799782153854,-0.04500000000000015,False,0.032377997821538385,0.10975599564307692,True,0,S2,1.1995810591571943
2023-11-25,1.7066666666666668,1.6757196796504,1.6937196796504,-0.030946987016266858,-0.012946987016266842,0.030946987016266858,0.012946987016266842,0.018000000000000016,True,0.030946987016266858,0.018000000000000016,True,1,S2,1.2175810591571943
2023-11-26,1.7266666666666666,1.6499979090846562,1.777677330787117,-0.07666875758201042,0.05101066412045041,0.07666875758201042,0.05101066412045041,0.025658093461560005,True,0.07666875758201042,0.12767942170246083,True,1,S2,1.2432391526187543
2023-11-27,1.8283333333333336,1.6484895189682278,1.7504242857197334,-0.17984381436510577,-0.07790904761360018,0.17984381436510577,0.07790904761360018,0.10193476675150559,True,0.17984381436510577,0.10193476675150559,True,1,S2,1.3451739193702599
2023-11-28,1.6849999999999998,1.7071731948081137,1.6931731948081137,0.02217319480811386,0.008173194808113848,0.02217319480811386,0.008173194808113848,0.014000000000000012,True,-0.02217319480811386,-0.014000000000000012,True,1,S2,1.3591739193702599
2023-11-29,1.6766666666666667,1.649296664701604,1.665296664701604,-0.027370001965062674,-0.01137000196506266,0.027370001965062674,0.01137000196506266,0.016000000000000014,True,0.027370001965062674,0.016000000000000014,True,1,S2,1.37517391937026
2023-11-30,1.9783333333333333,1.6513945457578854,1.7298958259959516,-0.3269387875754479,-0.24843750733738168,0.3269387875754479,0.24843750733738168,0.07850128023806624,True,0.3269387875754479,0.07850128023806624,True,1,S2,1.4536751996083261
2023-12-01,1.9583333333333333,1.8145851475618544,2.0361392442902693,-0.14374818577147885,0.07780591095693601,0.14374818577147885,0.07780591095693601,0.06594227481454285,True,0.14374818577147885,0.22155409672841486,True,1,S2,1.519617474422869
2023-12-02,1.83,1.777780731546025,1.9522192684539752,-0.052219268453975065,0.12221926845397513,0.052219268453975065,0.12221926845397513,-0.07000000000000006,False,0.052219268453975065,0.1744385369079502,True,1,S2,1.449617474422869
2023-12-03,1.885,1.7191810668197598,1.841976758526004,-0.1658189331802402,-0.04302324147399594,0.1658189331802402,0.04302324147399594,0.12279569170624427,True,0.1658189331802402,0.12279569170624427,True,0,S2,1.5724131661291132
2023-12-04,1.6366666666666667,1.7488187645006656,1.8388187645006655,0.11215209783399893,0.2021520978339988,0.11215209783399893,0.2021520978339988,-0.08999999999999986,False,-0.11215209783399893,0.08999999999999986,False,0,S2,1.4824131661291133
2023-12-05,1.6666666666666667,1.608763758142039,1.683766131761064,-0.05790290852462765,0.017099465094397193,0.05790290852462765,0.017099465094397193,0.04080344343023046,True,0.05790290852462765,0.07500237361902484,True,0,S2,1.5232166095593438
2023-12-06,1.514,1.6235836046367176,1.5975836046367176,0.10958360463671757,0.08358360463671755,0.10958360463671757,0.08358360463671755,0.026000000000000023,True,-0.10958360463671757,-0.026000000000000023,True,0,S2,1.5492166095593438
2023-12-07,1.3833333333333335,1.5474767253772206,1.5094767253772206,0.16414339204388706,0.12614339204388703,0.16414339204388706,0.12614339204388703,0.038000000000000034,True,-0.16414339204388706,-0.038000000000000034,True,0,S2,1.5872166095593438
2023-12-08,1.445,1.4398214303803991,1.444321430380399,-0.005178569619600948,-0.0006785696196009994,0.005178569619600948,0.0006785696196009994,0.0044999999999999485,True,0.005178569619600948,0.0044999999999999485,True,1,S2,1.5917166095593438
2023-12-09,1.5366666666666668,1.4207089262334596,1.4517089262334597,-0.11595774043320728,-0.08495774043320714,0.11595774043320728,0.08495774043320714,0.03100000000000014,True,0.11595774043320728,0.03100000000000014,True,1,S1,1.622716609559344
2023-12-10,1.598,1.5616682182794577,1.5836682182794577,-0.03633178172054241,-0.014331781720542391,0.03633178172054241,0.014331781720542391,0.02200000000000002,True,0.03633178172054241,0.02200000000000002,True,1,S1,1.644716609559344
2023-12-11,1.82,1.6030440532964447,1.741633679563216,-0.21695594670355534,-0.07836632043678415,0.21695594670355534,0.07836632043678415,0.13858962626677118,True,0.21695594670355534,0.13858962626677118,True,1,S1,1.7833062358261151
2023-12-12,1.8033333333333337,1.717417537629966,1.735417537629966,-0.0859157957033676,-0.06791579570336759,0.0859157957033676,0.06791579570336759,0.018000000000000016,True,0.0859157957033676,0.018000000000000016,True,1,S2,1.8013062358261152
2023-12-13,1.7583333333333335,1.7082841093084322,1.8583825573582349,-0.050049224024901307,0.10004922402490135,0.050049224024901307,0.10004922402490135,-0.050000000000000044,False,0.050049224024901307,0.15009844804980266,True,1,S2,1.751306235826115
2023-12-14,1.6883333333333332,1.715399471338622,1.875399471338622,0.027066138005288787,0.1870661380052887,0.027066138005288787,0.1870661380052887,-0.15999999999999992,False,-0.027066138005288787,0.15999999999999992,False,1,S2,1.5913062358261152
2023-12-15,1.9116666666666664,1.69413710363099,1.889660317981626,-0.2175295630356764,-0.022006348685040367,0.2175295630356764,0.022006348685040367,0.19552321435063602,True,0.2175295630356764,0.19552321435063602,True,1,S2,1.7868294501767512
2023-12-16,2.185,1.8140031709923845,2.01913228456273,-0.37099682900761555,-0.16586771543726986,0.37099682900761555,0.16586771543726986,0.2051291135703457,True,0.37099682900761555,0.2051291135703457,True,1,S2,1.991958563747097
2023-12-17,2.225,1.9561792101413744,2.207712757340566,-0.2688207898586257,-0.017287242659433932,0.2688207898586257,0.017287242659433932,0.25153354719919174,True,0.2688207898586257,0.25153354719919174,True,1,S2,2.2434921109462884
2023-12-18,2.5233333333333334,1.9699614741065463,2.2721227067886343,-0.5533718592267871,-0.25121062654469917,0.5533718592267871,0.25121062654469917,0.30216123268208794,True,0.5533718592267871,0.30216123268208794,True,1,S2,2.545653343628376
2023-12-19,2.556,2.172823515389022,2.4913103522974316,-0.3831764846109782,-0.06468964770256846,0.3831764846109782,0.06468964770256846,0.31848683690840973,True,0.3831764846109782,0.31848683690840973,True,1,S3,2.864140180536786
2023-12-20,2.3000000000000003,2.193269254595437,2.501730745404563,-0.10673074540456318,0.20173074540456293,0.10673074540456318,0.20173074540456293,-0.09499999999999975,False,0.10673074540456318,0.3084614908091261,True,1,S3,2.769140180536786
2023-12-21,2.318333333333334,2.0349767811488233,2.3471870328921756,-0.2833565521845105,0.02885369955884176,0.2833565521845105,0.02885369955884176,0.25450285262566874,True,0.2833565521845105,0.31221025174335226,True,0,S2,3.023643033162455
2023-12-22,2.2716666666666665,2.0440751004664808,2.3023151358522993,-0.22759156620018572,0.0306484691856328,0.22759156620018572,0.0306484691856328,0.19694309701455293,True,0.22759156620018572,0.2582400353858185,True,0,S1,3.220586130177008
2023-12-23,2.26,2.0387904808494532,2.2559250199013454,-0.22120951915054654,-0.004074980098654368,0.22120951915054654,0.004074980098654368,0.21713453905189217,True,0.22120951915054654,0.21713453905189217,True,0,S2,3.4377206692289
2023-12-24,2.191666666666667,2.0414045153915623,2.071404515391562,-0.15026215127510456,-0.12026215127510476,0.15026215127510456,0.12026215127510476,0.029999999999999805,True,0.15026215127510456,0.029999999999999805,True,0,S3,3.4677206692288998
2023-12-25,2.16,1.9750511035108065,2.1557969641913597,-0.18494889648919366,-0.004203035808640454,0.18494889648919366,0.004203035808640454,0.1807458606805532,True,0.18494889648919366,0.1807458606805532,True,1,S2,3.648466529909453
2023-12-26,2.165,1.9479228711825756,2.014247508707008,-0.21707712881742447,-0.15075249129299184,0.21707712881742447,0.15075249129299184,0.06632463752443263,True,0.21707712881742447,0.06632463752443263,True,1,S2,3.714791167433886
