date,site,target_tn_day,n_obs_day,std_day,mask_y
2021-06-17,排水闸,1.2475,4,0.03031088913245538,1
2021-06-18,排水闸,1.57625,8,0.27449669852295133,1
2021-06-19,排水闸,1.5957142857142856,7,0.06253162465211223,1
2021-06-20,排水闸,1.6600000000000001,5,0.04335896677735757,1
2021-07-02,排水闸,1.5675,4,0.059739015726742555,1
2021-07-03,排水闸,1.80375,8,0.36155696300859697,1
2021-07-04,排水闸,1.5825,8,0.05425633603552673,1
2021-07-05,排水闸,1.5425,8,0.05517019122678483,1
2021-07-06,排水闸,1.5650000000000002,6,0.053774219349672255,1
2021-07-07,排水闸,1.3833333333333335,3,0.047140452079103105,1
2021-07-26,排水闸,1.2833333333333334,3,0.07039570693980965,1
2021-07-27,排水闸,1.4055555555555557,9,0.14780701465169685,1
2021-07-28,排水闸,1.64375,8,0.11852610471959328,1
2021-07-29,排水闸,1.45625,8,0.272210281767607,1
2021-07-30,排水闸,1.0816666666666668,6,0.02608745973749757,1
2021-08-06,排水闸,2.36,2,0.0,1
2021-09-23,排水闸,1.15,3,0.0,1
2021-09-24,排水闸,1.16,2,0.010000000000000009,1
2021-10-28,排水闸,2.186666666666667,3,0.018856180831641284,1
2021-10-29,排水闸,2.2249999999999996,2,0.135,1
2021-11-05,排水闸,1.66,4,0.02345207879911717,1
2021-11-06,排水闸,1.7733333333333334,6,0.11911712256803762,1
2021-11-07,排水闸,3.0420000000000003,5,1.0982240208627747,1
2021-11-08,排水闸,3.615,6,0.2683126286007922,1
2021-11-09,排水闸,3.5780000000000003,5,0.42911070832595155,1
2021-11-10,排水闸,3.0966666666666662,6,0.19465068427541907,1
2021-11-11,排水闸,2.868,5,0.2365079279855116,1
2021-11-12,排水闸,3.1,2,0.020000000000000018,1
2021-11-26,排水闸,1.8733333333333333,3,0.05734883511361747,1
2021-11-27,排水闸,1.83,6,0.032145502536643146,1
2021-11-28,排水闸,1.8383333333333336,6,0.07624886155798583,1
2021-11-29,排水闸,1.875,4,0.020615528128088215,1
2021-11-30,排水闸,2.44,5,0.048989794855663606,1
2021-12-01,排水闸,2.1475,4,0.05356071321407133,1
2021-12-02,排水闸,2.066666666666667,3,0.009428090415820642,1
2021-12-03,排水闸,2.5,1,0.0,1
2021-12-07,排水闸,1.6949999999999998,2,0.03500000000000003,1
2021-12-08,排水闸,1.765,4,0.07826237921249261,1
2021-12-09,排水闸,1.68,4,0.040620192023179756,1
2021-12-10,排水闸,1.49,2,0.030000000000000027,1
2021-12-14,排水闸,0.7025,4,0.05356071321407138,1
2021-12-15,排水闸,0.755,2,0.0050000000000000044,1
2021-12-21,排水闸,0.8200000000000001,2,0.07,1
2021-12-22,排水闸,0.8533333333333334,3,0.026246692913372727,1
2021-12-23,排水闸,0.9316666666666666,6,0.041399141161247384,1
2021-12-24,排水闸,0.91,3,0.09626352718795766,1
2021-12-27,排水闸,1.49,2,0.020000000000000018,1
2021-12-28,排水闸,1.3900000000000001,4,0.07348469228349531,1
2021-12-30,排水闸,1.3,1,0.0,1
2022-01-11,排水闸,1.4966666666666668,3,0.05249338582674545,1
2022-01-12,排水闸,1.45,3,0.0355902608401044,1
2022-01-14,排水闸,1.43,2,0.010000000000000009,1
2022-01-19,排水闸,0.925,4,0.06538348415311011,1
2022-01-20,排水闸,0.9500000000000001,6,0.035590260840104346,1
2022-01-21,排水闸,1.025,4,0.19371370627810522,1
2022-02-10,排水闸,1.545,2,0.03500000000000003,1
2022-02-11,排水闸,1.5566666666666666,3,0.03858612300930078,1
2022-02-12,排水闸,1.5150000000000001,4,0.05766281297335403,1
2022-02-13,排水闸,1.1916666666666667,6,0.30212672102208293,1
2022-02-14,排水闸,0.9299999999999999,2,0.04999999999999999,1
2022-02-18,排水闸,1.9575,4,0.09065732182234369,1
2022-02-19,排水闸,1.9766666666666666,3,0.059066817155564555,1
2022-02-22,排水闸,1.672,5,0.047497368348151645,1
2022-02-23,排水闸,1.9140000000000001,5,0.1163786922078092,1
2022-03-01,排水闸,1.4366666666666665,3,0.030912061651652372,1
2022-03-02,排水闸,1.495,2,0.0050000000000000044,1
2022-03-07,排水闸,1.46,2,0.010000000000000009,1
2022-03-08,排水闸,1.3575,4,0.2698494950893924,1
2022-03-09,排水闸,1.248,5,0.3205869616812262,1
2022-03-10,排水闸,1.0999999999999999,3,0.06377042156569658,1
2022-03-11,排水闸,1.095,4,0.0335410196624968,1
2022-03-12,排水闸,1.065,2,0.05500000000000005,1
2022-03-13,排水闸,1.0183333333333333,6,0.04913134324327896,1
2022-03-14,排水闸,1.03,4,0.05958187643906493,1
2022-03-15,排水闸,0.8400000000000001,2,0.06,1
2022-03-16,排水闸,0.9640000000000001,5,0.06216108107168023,1
2022-03-17,排水闸,1.1783333333333335,6,0.1629331833059866,1
2022-03-18,排水闸,1.4266666666666667,3,0.04921607686744463,1
2022-03-23,排水闸,1.46,1,0.0,1
2022-03-24,排水闸,1.3050000000000002,2,0.03500000000000003,1
2022-03-25,排水闸,1.3033333333333335,6,0.03771236166328257,1
2022-03-26,排水闸,1.3533333333333335,6,0.0851795489278709,1
2022-03-27,排水闸,1.4916666666666665,6,0.07668478046884894,1
2022-03-28,排水闸,0.9216666666666667,6,0.28316171272888496,1
2022-03-29,排水闸,1.0719999999999998,5,0.18733926443754384,1
2022-03-30,排水闸,1.528,5,0.1170299107066223,1
2022-03-31,排水闸,1.7416666666666665,6,0.11466133708544578,1
2022-04-01,排水闸,2.104,5,0.2533456137374397,1
2022-04-02,排水闸,2.202,5,0.09495261976375376,1
2022-04-03,排水闸,1.99,6,0.07702813338860892,1
2022-04-04,排水闸,1.4266666666666667,6,0.2320679976979927,1
2022-04-05,排水闸,1.5716666666666665,6,0.11186549463033219,1
2022-04-06,排水闸,1.16,6,0.17654083569153817,1
2022-04-07,排水闸,1.105,4,0.04387482193696055,1
2022-04-08,排水闸,1.0450000000000002,6,0.07632168761236877,1
2022-04-09,排水闸,0.9,5,0.08294576541331086,1
2022-04-10,排水闸,1.1480000000000001,5,0.22551274908527902,1
2022-04-11,排水闸,0.8066666666666666,6,0.19888578520235062,1
2022-04-12,排水闸,0.6425,4,0.047631397208144126,1
2022-04-13,排水闸,1.2233333333333334,6,0.06155395104206468,1
2022-04-14,排水闸,1.2383333333333335,6,0.11610579466829188,1
2022-04-15,排水闸,1.3475000000000001,4,0.025860201081971453,1
2022-04-16,排水闸,1.4266666666666667,6,0.07717224601860152,1
2022-04-17,排水闸,1.4260000000000002,5,0.11377170122662314,1
2022-04-18,排水闸,1.2583333333333333,6,0.06309164410249239,1
2022-04-19,排水闸,1.1283333333333332,6,0.027335365778094485,1
2022-04-20,排水闸,1.1,6,0.0391578004149024,1
2022-04-21,排水闸,1.07,6,0.020000000000000018,1
2022-04-22,排水闸,0.995,6,0.2613905124521546,1
2022-04-23,排水闸,1.2016666666666664,6,0.10350791703482826,1
2022-04-24,排水闸,0.53,5,0.0914330356052997,1
2022-04-25,排水闸,0.9199999999999999,2,0.02999999999999997,1
2022-04-26,排水闸,0.8383333333333334,6,0.1880085695446413,1
2022-04-27,排水闸,0.5983333333333333,6,0.2705190484153668,1
2022-04-28,排水闸,0.9966666666666667,6,0.030912061651652372,1
2022-04-29,排水闸,0.8633333333333333,3,0.004714045207910321,1
2022-04-30,排水闸,0.9199999999999999,6,0.05686240703077327,1
2022-05-01,排水闸,1.0033333333333332,6,0.035433819375782195,1
2022-05-02,排水闸,1.165,6,0.19712517173951513,1
2022-05-03,排水闸,1.036,5,0.06499230723708765,1
2022-05-05,排水闸,0.8,4,0.23926972228010795,1
2022-05-06,排水闸,0.666,5,0.24662522174343807,1
2022-05-07,排水闸,1.405,6,0.17538053863907857,1
2022-05-08,排水闸,1.3233333333333335,6,0.42397589029985605,1
2022-05-09,排水闸,1.335,6,0.14614490525958593,1
2022-05-10,排水闸,1.8579999999999999,5,0.20173249614278804,1
2022-05-11,排水闸,1.75,4,0.10747092630102334,1
2022-05-12,排水闸,1.548,5,0.029257477676655614,1
2022-05-16,排水闸,1.6500000000000001,3,0.2333809475228573,1
2022-05-17,排水闸,1.4125,4,0.1323584149194905,1
2022-05-18,排水闸,1.3316666666666668,6,0.1382529887159366,1
2022-05-19,排水闸,1.2716666666666667,6,0.034840908267278155,1
2022-05-20,排水闸,1.25,6,0.03511884584284249,1
2022-05-21,排水闸,1.235,6,0.05469613027140652,1
2022-05-22,排水闸,1.1683333333333332,6,0.13557490754396825,1
2022-05-23,排水闸,1.068,5,0.14358272876638054,1
2022-05-24,排水闸,0.7725,4,0.024874685927665518,1
2022-05-25,排水闸,0.82,6,0.07615773105863911,1
2022-05-26,排水闸,1.2,6,0.34093010036271854,1
2022-05-27,排水闸,1.5779999999999998,5,0.10476640682967038,1
2022-05-28,排水闸,1.4057142857142857,7,0.15425925699077817,1
2022-05-29,排水闸,1.3566666666666667,6,0.05676462121975463,1
2022-05-30,排水闸,1.2885714285714285,7,0.16957329400827334,1
2022-05-31,排水闸,0.9533333333333333,6,0.06599663291074445,1
2022-06-01,排水闸,0.984,5,0.05083306010855534,1
2022-06-02,排水闸,0.9516666666666668,6,0.3101299010988066,1
2022-06-03,排水闸,0.20666666666666667,3,0.004714045207910308,1
2022-06-04,排水闸,0.87,6,0.03741657386773945,1
2022-06-05,排水闸,0.9666666666666668,6,0.1687865186822955,1
2022-06-06,排水闸,1.1157142857142857,7,0.11586410054852352,1
2022-06-07,排水闸,0.9183333333333333,6,0.02339278141269697,1
2022-06-08,排水闸,0.995,4,0.039051248379533304,1
2022-06-09,排水闸,0.9871428571428572,7,0.04430874976934522,1
2022-06-10,排水闸,1.0516666666666667,6,0.059558561284018804,1
2022-06-11,排水闸,1.0983333333333334,6,0.03933474573735311,1
2022-06-12,排水闸,1.18,6,0.01732050807568879,1
2022-06-13,排水闸,1.2049999999999998,6,0.05439056290693578,1
2022-06-14,排水闸,1.2133333333333332,6,0.03944053188733081,1
2022-06-15,排水闸,1.2040000000000002,5,0.10442221985765289,1
2022-06-16,排水闸,1.126,5,0.041279534881100526,1
2022-06-17,排水闸,1.2083333333333333,6,0.02339278141269702,1
2022-06-18,排水闸,1.1833333333333333,6,0.023570226039551605,1
2022-06-19,排水闸,1.1916666666666667,6,0.07924995618645826,1
2022-06-20,排水闸,1.135,6,0.06499999999999997,1
2022-06-21,排水闸,1.0825,4,0.07327175444876417,1
2022-06-22,排水闸,1.1025,4,0.04815340071064549,1
2022-06-23,排水闸,1.134,5,0.04841487374764078,1
2022-07-04,排水闸,1.13,2,0.0,1
2022-07-11,排水闸,1.3366666666666667,3,0.020548046676563275,1
2022-07-13,排水闸,1.33,3,0.008164965809277268,1
2022-07-18,排水闸,1.53,2,0.010000000000000009,1
2022-07-19,排水闸,1.69,1,0.0,1
2022-07-20,排水闸,1.54,1,0.0,1
2022-07-21,排水闸,1.47,2,0.020000000000000018,1
2022-07-22,排水闸,1.54,3,0.04242640687119289,1
2022-07-23,排水闸,1.5666666666666667,6,0.029814239699997223,1
2022-07-24,排水闸,1.5750000000000002,6,0.02692582403567255,1
2022-07-25,排水闸,1.508,5,0.031240998703626646,1
2022-07-26,排水闸,1.4633333333333332,6,0.0573488351136175,1
2022-07-27,排水闸,1.4271428571428573,7,0.06318098396427424,1
2022-07-28,排水闸,1.34,1,0.0,1
2022-11-01,排水闸,1.565,2,0.025000000000000022,1
2022-11-02,排水闸,1.56,1,0.0,1
2022-11-03,排水闸,1.57,6,0.015275252316519482,1
2022-11-04,排水闸,1.6433333333333333,6,0.0654896090146283,1
2022-11-05,排水闸,1.6900000000000002,6,0.033665016461206954,1
2022-11-06,排水闸,1.655,6,0.023629078131263064,1
2022-11-07,排水闸,1.6266666666666667,6,0.022110831935702586,1
2022-11-08,排水闸,1.5816666666666668,6,0.0456131072780134,1
2022-11-09,排水闸,1.53,3,0.024494897427831803,1
2022-11-10,排水闸,1.585,6,0.026925824035672546,1
2022-11-11,排水闸,1.5816666666666668,6,0.02192157739660986,1
2022-11-12,排水闸,1.6033333333333335,6,0.1168569876197207,1
2022-11-13,排水闸,1.8183333333333334,6,0.033374973990834604,1
2022-11-14,排水闸,1.7614285714285713,7,0.03522522287410847,1
2022-11-15,排水闸,1.764,5,0.028705400188814675,1
2022-11-16,排水闸,1.6933333333333334,3,0.036817870057290904,1
2022-11-17,排水闸,1.69,5,0.032863353450309996,1
2022-11-18,排水闸,1.72,6,0.02768874620972694,1
2022-11-19,排水闸,1.7233333333333334,6,0.04109609335312655,1
2022-11-20,排水闸,1.7216666666666667,6,0.03184162195757136,1
2022-11-21,排水闸,1.752,5,0.036551333764994164,1
2022-11-22,排水闸,1.7583333333333335,6,0.02192157739660986,1
2022-11-23,排水闸,1.7916666666666667,6,0.02544056253745627,1
2022-11-24,排水闸,1.805,6,0.03989569734528611,1
2022-11-25,排水闸,1.8014285714285714,7,0.0451753951452626,1
2022-11-26,排水闸,1.8039999999999998,5,0.03261901286060021,1
2022-11-28,排水闸,1.8566666666666667,3,0.07930251502246877,1
2022-11-29,排水闸,2.0525,4,0.052618912949623044,1
2022-11-30,排水闸,2.2333333333333334,6,0.047842333648024364,1
2022-12-01,排水闸,2.2475,4,0.028613807855648925,1
2022-12-02,排水闸,2.111666666666667,6,0.022669117514559134,1
2022-12-03,排水闸,2.0466666666666664,6,0.018856180831641298,1
2022-12-04,排水闸,2.056,5,0.051999999999999956,1
2022-12-05,排水闸,2.054,5,0.03072458299147438,1
2022-12-06,排水闸,1.9716666666666667,6,0.01572330188676102,1
2022-12-07,排水闸,1.92,6,0.03464101615137751,1
2022-12-08,排水闸,1.8916666666666666,6,0.0328718048721933,1
2022-12-09,排水闸,1.8616666666666666,6,0.0371558280160132,1
2022-12-10,排水闸,1.8566666666666667,6,0.015986105077709024,1
2022-12-11,排水闸,1.995,6,0.10531698185319717,1
2022-12-12,排水闸,2.005,6,0.041533119314590354,1
2022-12-13,排水闸,1.9416666666666667,6,0.02967415635794145,1
2022-12-14,排水闸,1.8883333333333334,6,0.027335365778094475,1
2022-12-15,排水闸,1.8399999999999999,6,0.0450924975282289,1
2022-12-16,排水闸,1.9216666666666666,6,0.10838460325259403,1
2022-12-17,排水闸,2.045,6,0.03547299442298795,1
2022-12-18,排水闸,1.9816666666666667,6,0.07009913614937698,1
2022-12-19,排水闸,1.825,6,0.04958158260214503,1
2022-12-20,排水闸,1.7933333333333332,6,0.024944382578492966,1
2022-12-21,排水闸,1.7716666666666667,6,0.027938424357067042,1
2022-12-22,排水闸,1.85,10,0.060663003552412345,1
2022-12-23,排水闸,1.8425,4,0.019202864369671536,1
2022-12-24,排水闸,1.9016666666666666,6,0.04669641908707296,1
2022-12-25,排水闸,1.908,5,0.03919183588453082,1
2022-12-26,排水闸,1.9133333333333333,6,0.03543381937578214,1
2022-12-27,排水闸,1.91,6,0.029439202887759468,1
2022-12-28,排水闸,1.8933333333333333,6,0.02687419249432845,1
2022-12-29,排水闸,1.905,6,0.01707825127659927,1
2022-12-30,排水闸,1.93,6,0.02380476142847619,1
2022-12-31,排水闸,1.9349999999999998,6,0.030413812651491127,1
2023-01-01,排水闸,1.8333333333333333,6,0.06046119049072349,1
2023-01-02,排水闸,1.8066666666666666,6,0.03815174380753202,1
2023-01-03,排水闸,1.8616666666666666,6,0.01343709624716416,1
2023-01-04,排水闸,1.8533333333333335,6,0.023570226039551546,1
2023-01-05,排水闸,1.8233333333333333,6,0.03543381937578214,1
2023-01-06,排水闸,1.8733333333333333,6,0.050221730577731154,1
2023-01-07,排水闸,1.8266666666666669,6,0.022110831935702683,1
2023-01-08,排水闸,1.8499999999999999,6,0.05477225575051657,1
2023-01-09,排水闸,1.7783333333333333,6,0.0425897744639355,1
2023-01-10,排水闸,1.7433333333333334,6,0.03590109871423006,1
2023-01-11,排水闸,1.7733333333333334,6,0.02687419249432852,1
2023-01-12,排水闸,1.7766666666666666,6,0.046427960923947104,1
2023-01-13,排水闸,1.57,6,0.13601470508735444,1
2023-01-14,排水闸,1.7333333333333334,6,0.11115554667022046,1
2023-01-15,排水闸,1.945,6,0.07544313531837513,1
2023-01-16,排水闸,1.8780000000000001,5,0.03310589071449363,1
2023-01-17,排水闸,1.8066666666666666,6,0.032489314482696575,1
2023-01-18,排水闸,1.7149999999999999,6,0.026299556396765858,1
2023-01-19,排水闸,1.6933333333333334,3,0.018856180831641284,1
2023-01-28,排水闸,1.6,4,0.021213203435596368,1
2023-01-29,排水闸,1.6033333333333335,6,0.030912061651652317,1
2023-01-30,排水闸,1.6199999999999999,5,0.024494897427831713,1
2023-01-31,排水闸,1.6066666666666667,6,0.043076159944400234,1
2023-02-01,排水闸,1.6016666666666666,6,0.021147629234082484,1
2023-02-02,排水闸,1.6116666666666666,6,0.03287180487219331,1
2023-02-03,排水闸,1.595,6,0.04462809279665288,1
2023-02-04,排水闸,1.6016666666666666,6,0.034359213546813774,1
2023-02-05,排水闸,1.575,6,0.06238322424070969,1
2023-02-06,排水闸,1.4733333333333334,6,0.07086763875156431,1
2023-02-07,排水闸,1.4799999999999998,6,0.07505553499465142,1
2023-02-08,排水闸,1.5366666666666668,6,0.029249881291307102,1
2023-02-09,排水闸,1.524,5,0.025768197453450273,1
2023-02-10,排水闸,1.5333333333333332,6,0.011055415967851341,1
2023-02-11,排水闸,1.505,6,0.023629078131263064,1
2023-02-12,排水闸,1.5116666666666667,6,0.029674156357941454,1
2023-02-13,排水闸,1.61,5,0.054037024344425144,1
2023-02-14,排水闸,1.6366666666666667,6,0.060184900284225906,1
2023-02-15,排水闸,1.5683333333333334,6,0.03131382371342652,1
2023-02-16,排水闸,1.5383333333333333,6,0.03236081306491269,1
2023-02-17,排水闸,1.5216666666666667,6,0.021147629234082553,1
2023-02-18,排水闸,1.485,6,0.05737304826019506,1
2023-02-19,排水闸,1.4583333333333333,6,0.035784850922639846,1
2023-02-20,排水闸,1.4583333333333333,6,0.04669641908707304,1
2023-02-21,排水闸,1.4633333333333332,6,0.03944053188733081,1
2023-02-22,排水闸,1.4733333333333334,6,0.039015666369065456,1
2023-02-23,排水闸,1.4433333333333334,6,0.013743685418725548,1
